"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
"labware_8","A1","labware_5","F6","150","0","38","Distributing Medium-A to labware_5"
"labware_8","A1","labware_5","G6","150","0","38","Distributing Medium-A to labware_5"
"labware_8","A1","labware_6","B2","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","C2","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","D2","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","E2","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","F2","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","G2","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","B3","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","C3","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","D3","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","E3","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","F3","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","G3","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","B4","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","C4","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","D4","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","E4","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","F4","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","G4","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","B5","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","C5","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","D5","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","E5","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","F5","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","G5","50","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","B6","150","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","C6","150","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","D6","150","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","E6","150","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","F6","150","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_6","G6","150","0","38","Distributing Medium-A to labware_6"
"labware_8","A1","labware_4","A1, B1, C1, D1, E1, F1, G1, H1, A2, H2, A3, H3, A4, H4, A5, H5, A6, H6","200","0","39","Medium-A fillings for labware_4"
"labware_8","A1","labware_5","A1, B1, C1, D1, E1, F1, G1, H1, A2, H2, A3, H3, A4, H4, A5, H5, A6, H6","200","0","39","Medium-A fillings for labware_5"
"labware_8","A1","labware_6","A1, B1, C1, D1, E1, F1, G1, H1, A2, H2, A3, H3, A4, H4, A5, H5, A6, H6","200","0","39","Medium-A fillings for labware_6"
"labware_8","A2","labware_4","B7","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","C7","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","D7","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","E7","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","F7","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","G7","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","B8","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","C8","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","D8","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","E8","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","F8","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","G8","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","B9","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","C9","50","0","40","Distributing Medium-B to labware_4"
"labware_8","A2","labware_4","D9","50","0","40","Distributing Medium-B to labware_4"
